频道名,地址,tvg-id,tvg-name,国家分组,语言分组,图标,原分组,分辨率,来源文件
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-1,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-2,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-3,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5+,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-6,http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-7,http://39.135.138.58:18890/PLTV/88888888/224/3221225624/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-7,http://39.135.138.58:18890/PLTV/88888888/224/3221225644/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-7,http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-8,http://39.135.138.58:18890/PLTV/88888888/224/3221225635/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-9,http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-9,http://39.135.138.58:18890/PLTV/88888888/224/3221225646/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225627/index.m3u8,,,,,,央视,,zbefine.txt
CCTV-10,http://39.135.138.58:18890/PLTV/88888888/224/3221225636/index.m3u8,,,,,,央视,,zbefine.txt
